,Model,agecat,year,variable.x,value,variable.y,DoubleYearDecadeCoef,variable,DoubleAgecatCoef,sum,USA,JustTriple
1,AllCountriesFemale,19-Oct,1950,USDummy1_10-19_YearDecade1950,0.3741963,USDummy1_YearDecade1950,0,USDummy1_10-19,0,0.3741963,0.3741963,0
2,AllCountriesFemale,19-Oct,2010,USDummy1_10-19_YearDecade2010,0.3741963,USDummy1_YearDecade2010,0.0755944,USDummy1_10-19,0,0.4497907,0.3741963,0
3,AllCountriesFemale,19-Oct,1960,USDummy1_10-19_YearDecade1960,0.3741963,USDummy1_YearDecade1960,-0.0866278,USDummy1_10-19,0,0.2875685,0.3741963,0
4,AllCountriesFemale,19-Oct,1970,USDummy1_10-19_YearDecade1970,0.3741963,USDummy1_YearDecade1970,-0.1245608,USDummy1_10-19,0,0.2496355,0.3741963,0
5,AllCountriesFemale,19-Oct,1990,USDummy1_10-19_YearDecade1990,0.3741963,USDummy1_YearDecade1990,0.0073315,USDummy1_10-19,0,0.3815278,0.3741963,0
6,AllCountriesFemale,19-Oct,2000,USDummy1_10-19_YearDecade2000,0.3741963,USDummy1_YearDecade2000,0.0448488,USDummy1_10-19,0,0.4190451,0.3741963,0
7,AllCountriesFemale,19-Oct,1980,USDummy1_10-19_YearDecade1980,0.3741963,USDummy1_YearDecade1980,-0.068011,USDummy1_10-19,0,0.3061853,0.3741963,0
8,AllCountriesFemale,30-39,1970,USDummy1_30-39_YearDecade1970,0.312674,USDummy1_YearDecade1970,-0.1245608,USDummy1_30-39,-0.0540258,0.1340874,0.3741963,-0.0615223
9,AllCountriesFemale,30-39,2000,USDummy1_30-39_YearDecade2000,0.3525538,USDummy1_YearDecade2000,0.0448488,USDummy1_30-39,-0.0540258,0.3433768,0.3741963,-0.0216425
10,AllCountriesFemale,30-39,2010,USDummy1_30-39_YearDecade2010,0.4898978,USDummy1_YearDecade2010,0.0755944,USDummy1_30-39,-0.0540258,0.5114664,0.3741963,0.1157015
