="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="",="Female1880",="Female1890",="Female1900",="Female1910",="Female1920",="Female1930",="Female1940",="Female1950",="Female1960",="Female1970",="Male1880",="Male1890",="Male1900",="Male1910",="Male1920",="Male1930",="Male1940",="Male1950",="Male1960",="Male1970",="Total1880",="Total1890",="Total1900",="Total1910",="Total1920",="Total1930",="Total1940",="Total1950",="Total1960",="Total1970"
="Australia",="-0.0366",="-0.0468",="-0.0394",="-0.0802",="-0.190",="-0.309",="-0.409",="-0.517",="-0.581",="-0.561",="0.00459",="-0.0595",="-0.0874",="-0.0982",="-0.140",="-0.257",="-0.427",="-0.574",="-0.549",="-0.482",="-0.0183",="-0.0600",="-0.0565",="-0.0804",="-0.145",="-0.264",="-0.410",="-0.549",="-0.559",="-0.512"
="Canada",="-0.0576",="-0.102",="-0.112",="-0.162",="-0.209",="-0.234",="-0.264",="-0.347",="-0.480",="-0.545",="-0.146",="-0.192",="-0.164",="-0.156",="-0.152",="-0.193",="-0.307",="-0.445",="-0.525",="-0.558",="-0.0973",="-0.145",="-0.129",="-0.149",="-0.168",="-0.201",="-0.285",="-0.403",="-0.503",="-0.551"
="Denmark",="-0.00741",="-0.0932",="-0.117",="-0.0947",="0.0185",="0.0937",="0.0235",="-0.0615",="-0.371",="-0.657",="-0.264",="-0.322",="-0.272",="-0.218",="-0.0903",="-0.0163",="-0.0732",="-0.150",="-0.354",="-0.583",="-0.151",="-0.225",="-0.206",="-0.162",="-0.0414",="0.0335",="-0.0275",="-0.109",="-0.351",="-0.602"
="France",="0.00566",="-0.0242",="-0.0776",="-0.214",="-0.330",="-0.391",="-0.362",="-0.295",="-0.381",="-0.531",="0.0552",="0.0384",="0.0110",="-0.0815",="-0.0584",="-0.0324",="-0.0467",="-0.0465",="-0.178",="-0.322",="-0.00226",="-0.0188",="-0.0244",="-0.132",="-0.157",="-0.159",="-0.151",="-0.131",="-0.253",="-0.396"
="Italy",="0.0359",="-0.0145",="-0.0664",="-0.169",="-0.290",="-0.399",="-0.453",="-0.561",="-0.722",="-0.858",="-0.127",="-0.0952",="-0.0918",="-0.156",="-0.118",="-0.178",="-0.317",="-0.535",="-0.661",="-0.822",="-0.0654",="-0.0771",="-0.0835",="-0.163",="-0.187",="-0.262",="-0.367",="-0.543",="-0.684",="-0.837"
="Japan",="0.235",="0.172",="0.0923",="-0.163",="-0.438",="-0.561",="-0.590",="-0.638",="-0.696",="-0.735",="0.174",="0.0355",="-0.0666",="-0.249",="-0.323",="-0.270",="-0.339",="-0.492",="-0.555",="-0.690",="0.187",="0.0958",="0.00349",="-0.224",="-0.377",="-0.374",="-0.425",="-0.537",="-0.601",="-0.701"
="Netherlands",="-0.0448",="-0.149",="-0.228",="-0.281",="-0.276",="-0.257",="-0.227",="-0.211",="-0.434",="-0.636",="-0.287",="-0.313",="-0.282",="-0.236",="-0.191",="-0.195",="-0.315",="-0.506",="-0.696",="-0.796",="-0.180",="-0.244",="-0.261",="-0.253",="-0.223",="-0.213",="-0.271",="-0.381",="-0.582",="-0.729"
="Norway",="-0.195",="-0.224",="-0.270",="-0.328",="-0.341",="-0.338",="-0.295",="-0.411",="-0.605",="-0.782",="-0.374",="-0.348",="-0.324",="-0.281",="-0.203",="-0.206",="-0.314",="-0.514",="-0.662",="-0.705",="-0.301",="-0.298",="-0.300",="-0.290",="-0.245",="-0.248",="-0.296",="-0.463",="-0.628",="-0.721"
="Spain",="0.0720",="0.0256",="-0.0469",="-0.196",="-0.374",="-0.501",="-0.568",="-0.559",="-0.633",="-0.822",="0.0384",="-0.0243",="-0.118",="-0.229",="-0.220",="-0.185",="-0.190",="-0.273",="-0.394",="-0.746",="0.0382",="-0.0139",="-0.0957",="-0.225",="-0.275",="-0.300",="-0.318",="-0.365",="-0.473",="-0.765"
="Sweden",="-0.0625",="-0.143",="-0.221",="-0.291",="-0.340",="-0.319",="-0.310",="-0.467",="-0.716",="-0.865",="-0.273",="-0.350",="-0.379",="-0.360",="-0.301",="-0.262",="-0.379",="-0.590",="-0.757",="-0.864",="-0.183",="-0.262",="-0.308",="-0.321",="-0.307",="-0.276",="-0.342",="-0.534",="-0.732",="-0.854"
