,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
,Female1960s,Female1970s,Female1980s,Female1990s,Female2000s,Female2010s,Male1960s,Male1970s,Male1980s,Male1990s,Male2000s,Male2010s,Total1960s,Total1970s,Total1980s,Total1990s,Total2000s,Total2010s
Australia,-0.0970,-0.105,-0.191,-0.305,-0.441,-0.522,-0.103,-0.135,-0.191,-0.311,-0.400,-0.510,-0.0910,-0.112,-0.180,-0.301,-0.408,-0.509
Canada,-0.163,-0.139,-0.200,-0.274,-0.344,-0.374,-0.152,-0.137,-0.206,-0.293,-0.355,-0.443,-0.144,-0.126,-0.195,-0.282,-0.350,-0.413
Denmark,-0.231,-0.178,-0.0755,-0.110,-0.274,-0.485,-0.376,-0.290,-0.170,-0.191,-0.265,-0.517,-0.307,-0.236,-0.121,-0.152,-0.254,-0.510
France,-0.133,-0.133,-0.157,-0.280,-0.423,-0.536,-0.0896,-0.0736,-0.0443,-0.116,-0.213,-0.357,-0.108,-0.0902,-0.0797,-0.172,-0.290,-0.423
Italy,-0.112,-0.217,-0.285,-0.368,-0.580,-0.717,-0.166,-0.233,-0.243,-0.271,-0.429,-0.639,-0.147,-0.226,-0.255,-0.303,-0.482,-0.665
Japan,0.0629,-0.212,-0.402,-0.529,-0.606,-0.671,-0.0777,-0.323,-0.438,-0.492,-0.471,-0.553,-0.0265,-0.281,-0.425,-0.509,-0.522,-0.595
Netherlands,-0.328,-0.288,-0.308,-0.300,-0.368,-0.504,-0.394,-0.364,-0.381,-0.407,-0.471,-0.644,-0.362,-0.329,-0.352,-0.367,-0.429,-0.580
Norway,-0.417,-0.389,-0.359,-0.351,-0.396,-0.539,-0.352,-0.327,-0.272,-0.347,-0.387,-0.531,-0.358,-0.331,-0.284,-0.338,-0.376,-0.518
Spain,-0.0871,-0.207,-0.299,-0.377,-0.559,-0.746,-0.222,-0.268,-0.237,-0.183,-0.307,-0.602,-0.174,-0.244,-0.254,-0.244,-0.391,-0.652
Sweden,-0.309,-0.308,-0.339,-0.429,-0.519,-0.567,-0.417,-0.372,-0.372,-0.504,-0.546,-0.629,-0.364,-0.333,-0.348,-0.467,-0.523,-0.587
UK,-0.184,-0.154,-0.142,-0.214,-0.286,-0.380,-0.249,-0.270,-0.264,-0.295,-0.311,-0.440,-0.229,-0.228,-0.219,-0.266,-0.302,-0.417
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WestGermany,-0.0656,-0.0409,-0.143,-0.264,-0.408,-0.492,-0.0969,-0.0743,-0.152,-0.242,-0.335,-0.463,-0.0922,-0.0688,-0.155,-0.254,-0.363,-0.473
Taiwan,,0.207,0.181,0.0809,-0.117,-0.260,,0.0313,0.0854,0.0866,0.0327,-0.0733,,0.118,0.145,0.106,-0.00630,-0.131
Israel,,,-0.177,-0.330,-0.456,-0.609,,,-0.358,-0.419,-0.383,-0.544,,,-0.275,-0.372,-0.400,-0.558
Germany,,,,-0.223,-0.399,-0.489,,,,-0.177,-0.301,-0.434,,,,-0.197,-0.337,-0.453
Observations,9880,10640,11168,12146,12151,8425,9880,10640,11172,12160,12157,8425,9880,10640,11172,12160,12159,8435
