="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Female2000",="Female2010",="Male2000",="Male2010",="Total2010"
="Australia",="-0.442",="-0.565",="-0.390",="-0.717",="-0.549"
="Canada",="-0.232",="-0.135",="-0.391",="-0.716",="-0.431"
="Denmark",="-0.582",="-0.111",="-0.715",="-0.425",="-0.264"
="France",="-0.414",="-0.488",="-0.468",="-0.483",="-0.431"
="Germany",="-0.430",="-0.257",="-0.478",="-0.424",="-0.368"
="Israel",="-0.241",="-0.365",="-0.220",="-0.264",="-0.251"
="Italy",="-0.516",="",="-0.586",="",=""
="Japan",="-0.422",="-0.423",="-0.389",="-0.445",="-0.424"
="Netherlands",="-0.449",="-0.809",="-0.547",="-1.279",="-1.089"
="Norway",="-0.490",="",="-0.494",="",=""
="Spain",="-0.455",="-0.639",="-0.438",="-0.585",="-0.505"
="Sweden",="-0.494",="-0.364",="-0.757",="-0.727",="-0.676"
="Taiwan",="0.148",="",="0.0783",="",=""
="UK",="-0.376",="-0.571",="-0.407",="-0.673",="-0.594"
="USA",="0",="0",="0",="0",="0"
="WestGermany",="-0.416",="-0.243",="-0.486",="-0.386",="-0.301"
="Observations",="1179",="53",="1177",="54",="54"
