"","Model","agecat","year","variable.x","variable.y","DoubleYearDecadeCoef","variable","DoubleAgecatCoef","USA","JustTriple","sum"
"1","AllCountriesFemaleNoLag","05-09","1940","USDummy1_05-09_YearDecade1940","USDummy1_YearDecade1940",-0.353082,"USDummy1_05-09",-0.1563145,0.0176041,0.0677816,-0.4240108
"2","AllCountriesFemaleNoLag","05-09","1950","USDummy1_05-09_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_05-09",-0.1563145,0.0176041,0,-0.1387104
"3","AllCountriesFemaleNoLag","05-09","1970","USDummy1_05-09_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_05-09",-0.1563145,0.0176041,0.0080039,0.0670722
"4","AllCountriesFemaleNoLag","05-09","2000","USDummy1_05-09_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_05-09",-0.1563145,0.0176041,0.0685494,0.370002
"5","AllCountriesFemaleNoLag","05-09","1980","USDummy1_05-09_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_05-09",-0.1563145,0.0176041,0.0449415,0.1925014
"6","AllCountriesFemaleNoLag","05-09","2010","USDummy1_05-09_YearDecade2010","USDummy1_YearDecade2010",0.4864603,"USDummy1_05-09",-0.1563145,0.0176041,0.0440343,0.3917842
"7","AllCountriesFemaleNoLag","05-09","1960","USDummy1_05-09_YearDecade1960","USDummy1_YearDecade1960",0.156167,"USDummy1_05-09",-0.1563145,0.0176041,0.0134353,0.0308919
"8","AllCountriesFemaleNoLag","05-09","1990","USDummy1_05-09_YearDecade1990","USDummy1_YearDecade1990",0.3692665,"USDummy1_05-09",-0.1563145,0.0176041,0.0076878,0.2382439
"9","AllCountriesFemaleNoLag","10-19","2010","USDummy1_10-19_YearDecade2010","USDummy1_YearDecade2010",0.4864603,"USDummy1_10-19",0,0.0176041,0,0.5040644
"10","AllCountriesFemaleNoLag","10-19","1990","USDummy1_10-19_YearDecade1990","USDummy1_YearDecade1990",0.3692665,"USDummy1_10-19",0,0.0176041,0,0.3868706
"11","AllCountriesFemaleNoLag","10-19","1960","USDummy1_10-19_YearDecade1960","USDummy1_YearDecade1960",0.156167,"USDummy1_10-19",0,0.0176041,0,0.1737711
"12","AllCountriesFemaleNoLag","10-19","2000","USDummy1_10-19_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_10-19",0,0.0176041,0,0.4577671
"13","AllCountriesFemaleNoLag","10-19","1980","USDummy1_10-19_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_10-19",0,0.0176041,0,0.3038744
"14","AllCountriesFemaleNoLag","10-19","1970","USDummy1_10-19_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_10-19",0,0.0176041,0,0.2153828
"15","AllCountriesFemaleNoLag","10-19","1950","USDummy1_10-19_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_10-19",0,0.0176041,0,0.0176041
"16","AllCountriesFemaleNoLag","10-19","1940","USDummy1_10-19_YearDecade1940","USDummy1_YearDecade1940",-0.353082,"USDummy1_10-19",0,0.0176041,0,-0.3354779
"17","AllCountriesFemaleNoLag","20-29","1960","USDummy1_20-29_YearDecade1960","USDummy1_YearDecade1960",0.156167,"USDummy1_20-29",0.0025292,0.0176041,0.1071313,0.2834316
"18","AllCountriesFemaleNoLag","20-29","1980","USDummy1_20-29_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_20-29",0.0025292,0.0176041,0.0717863,0.3781899
"19","AllCountriesFemaleNoLag","20-29","1970","USDummy1_20-29_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_20-29",0.0025292,0.0176041,0.1326765,0.3505885
"20","AllCountriesFemaleNoLag","20-29","1940","USDummy1_20-29_YearDecade1940","USDummy1_YearDecade1940",-0.353082,"USDummy1_20-29",0.0025292,0.0176041,0.0372971,-0.2956516
"21","AllCountriesFemaleNoLag","20-29","2000","USDummy1_20-29_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_20-29",0.0025292,0.0176041,0.1580339,0.6183302
"22","AllCountriesFemaleNoLag","80","1970","USDummy1_80_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_80",-0.2007358,0.0176041,-0.1567749,-0.1421279
"23","AllCountriesFemaleNoLag","80","1960","USDummy1_80_YearDecade1960","USDummy1_YearDecade1960",0.156167,"USDummy1_80",-0.2007358,0.0176041,-0.0941712,-0.1211359
"24","AllCountriesFemaleNoLag","30-39","1950","USDummy1_30-39_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_30-39",0.0671054,0.0176041,0,0.0847095
"25","AllCountriesFemaleNoLag","30-39","1990","USDummy1_30-39_YearDecade1990","USDummy1_YearDecade1990",0.3692665,"USDummy1_30-39",0.0671054,0.0176041,-0.0267758,0.4272002
"26","AllCountriesFemaleNoLag","30-39","1940","USDummy1_30-39_YearDecade1940","USDummy1_YearDecade1940",-0.353082,"USDummy1_30-39",0.0671054,0.0176041,0.2187925,-0.04958
"27","AllCountriesFemaleNoLag","30-39","2000","USDummy1_30-39_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_30-39",0.0671054,0.0176041,0.0620536,0.5869261
"28","AllCountriesFemaleNoLag","30-39","1960","USDummy1_30-39_YearDecade1960","USDummy1_YearDecade1960",0.156167,"USDummy1_30-39",0.0671054,0.0176041,0.0674108,0.3082873
"29","AllCountriesFemaleNoLag","30-39","2010","USDummy1_30-39_YearDecade2010","USDummy1_YearDecade2010",0.4864603,"USDummy1_30-39",0.0671054,0.0176041,0.2345454,0.8057152
"30","AllCountriesFemaleNoLag","30-39","1970","USDummy1_30-39_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_30-39",0.0671054,0.0176041,0.0265009,0.3089891
"31","AllCountriesFemaleNoLag","30-39","1980","USDummy1_30-39_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_30-39",0.0671054,0.0176041,-0.072767,0.2982128
"32","AllCountriesFemaleNoLag","40-49","1970","USDummy1_40-49_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_40-49",0.1654507,0.0176041,-0.0819076,0.2989259
"33","AllCountriesFemaleNoLag","40-49","1950","USDummy1_40-49_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_40-49",0.1654507,0.0176041,0,0.1830548
"34","AllCountriesFemaleNoLag","40-49","2000","USDummy1_40-49_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_40-49",0.1654507,0.0176041,-0.1257852,0.4974326
"35","AllCountriesFemaleNoLag","40-49","1980","USDummy1_40-49_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_40-49",0.1654507,0.0176041,-0.2133259,0.2559992
"36","AllCountriesFemaleNoLag","40-49","2010","USDummy1_40-49_YearDecade2010","USDummy1_YearDecade2010",0.4864603,"USDummy1_40-49",0.1654507,0.0176041,-0.0538789,0.6156362
"37","AllCountriesFemaleNoLag","40-49","1960","USDummy1_40-49_YearDecade1960","USDummy1_YearDecade1960",0.156167,"USDummy1_40-49",0.1654507,0.0176041,-0.0465827,0.2926391
"38","AllCountriesFemaleNoLag","40-49","1940","USDummy1_40-49_YearDecade1940","USDummy1_YearDecade1940",-0.353082,"USDummy1_40-49",0.1654507,0.0176041,0.2939154,0.1238882
"39","AllCountriesFemaleNoLag","40-49","1990","USDummy1_40-49_YearDecade1990","USDummy1_YearDecade1990",0.3692665,"USDummy1_40-49",0.1654507,0.0176041,-0.248163,0.3041583
"40","AllCountriesFemaleNoLag","50-59","1990","USDummy1_50-59_YearDecade1990","USDummy1_YearDecade1990",0.3692665,"USDummy1_50-59",0.1589497,0.0176041,-0.2269868,0.3188335
"41","AllCountriesFemaleNoLag","50-59","1980","USDummy1_50-59_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_50-59",0.1589497,0.0176041,-0.1951449,0.2676792
"42","AllCountriesFemaleNoLag","50-59","1970","USDummy1_50-59_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_50-59",0.1589497,0.0176041,-0.1378018,0.2365307
"43","AllCountriesFemaleNoLag","50-59","2010","USDummy1_50-59_YearDecade2010","USDummy1_YearDecade2010",0.4864603,"USDummy1_50-59",0.1589497,0.0176041,-0.1743942,0.4886199
"44","AllCountriesFemaleNoLag","50-59","1940","USDummy1_50-59_YearDecade1940","USDummy1_YearDecade1940",-0.353082,"USDummy1_50-59",0.1589497,0.0176041,0.3432677,0.1667395
"45","AllCountriesFemaleNoLag","50-59","2000","USDummy1_50-59_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_50-59",0.1589497,0.0176041,-0.241601,0.3751158
"46","AllCountriesFemaleNoLag","50-59","1950","USDummy1_50-59_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_50-59",0.1589497,0.0176041,0,0.1765538
"47","AllCountriesFemaleNoLag","60-69","1950","USDummy1_60-69_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_60-69",0.0309399,0.0176041,0,0.048544
"48","AllCountriesFemaleNoLag","60-69","1970","USDummy1_60-69_YearDecade1970","USDummy1_YearDecade1970",0.1977787,"USDummy1_60-69",0.0309399,0.0176041,-0.1270676,0.1192551
"49","AllCountriesFemaleNoLag","20-29","1950","USDummy1_20-29_YearDecade1950","USDummy1_YearDecade1950",0,"USDummy1_20-29",0.0025292,0.0176041,0,0.0201333
"50","AllCountriesFemaleNoLag","60-69","2000","USDummy1_60-69_YearDecade2000","USDummy1_YearDecade2000",0.440163,"USDummy1_60-69",0.0309399,0.0176041,-0.1094329,0.3792741
"51","AllCountriesFemaleNoLag","60-69","1980","USDummy1_60-69_YearDecade1980","USDummy1_YearDecade1980",0.2862703,"USDummy1_60-69",0.0309399,0.0176041,-0.1312294,0.2035849
